No.,ID,Name Variable,Value,Timestamp,Kind of Data,Connected Wifi
85,M125,S1_B-F-1_JAM_,1,2024-04-27T16:45:16.803956,Alarm,1
79,D254,Cycle/S6/cycle/on/05,910,2024-04-27T16:45:16.873189,Cycle,1
86,M126,S1_B-F-2_JAM_,1,2024-04-27T16:45:16.922080,Alarm,1
80,D453,Cycle/S6/cycle/off/00,320,2024-04-27T16:45:16.990210,Cycle,1
87,M127,S2_B-F_-1_JAM,1,2024-04-27T16:45:17.039867,Alarm,1
81,D482,Cycle/S6/cycle/off/01,400,2024-04-27T16:45:17.103858,Cycle,1
88,M128,S4_B-F_-1_JAM_,1,2024-04-27T16:45:17.152555,Alarm,1
82,D455,Cycle/S6/cycle/off/02,990,2024-04-27T16:45:17.216449,Cycle,1
89,M129,S4_B-F-2_JAM,1,2024-04-27T16:45:17.268323,Alarm,1
83,D475,Cycle/S6/cycle/off/03,500,2024-04-27T16:45:17.334286,Cycle,1
84,D481,Cycle/S6/cycle/off/04,900,2024-04-27T16:45:17.438432,Cycle,1
85,D454,Cycle/S6/cycle/off/05,970,2024-04-27T16:45:17.542080,Cycle,1
86,D257,Cycle/S7/cycle/on/00,250,2024-04-27T16:45:17.650610,Cycle,1
87,D259,Cycle/S7/cycle/on/01,400,2024-04-27T16:45:17.755347,Cycle,1
88,D276,Cycle/S7/cycle/on/02,450,2024-04-27T16:45:17.863205,Cycle,1
89,D258,Cycle/S7/cycle/on/03,910,2024-04-27T16:45:17.975594,Cycle,1
90,D457,Cycle/S7/cycle/off/00,320,2024-04-27T16:45:18.083813,Cycle,1
91,D459,Cycle/S7/cycle/off/01,990,2024-04-27T16:45:18.191331,Cycle,1
92,D476,Cycle/S7/cycle/off/02,650,2024-04-27T16:45:18.290187,Cycle,1
93,D458,Cycle/S7/cycle/off/03,970,2024-04-27T16:45:18.393526,Cycle,1
94,D225,Cycle/S8/cycle/on/00,650,2024-04-27T16:45:18.496255,Cycle,1
95,D425,Cycle/S8/cycle/off/00,700,2024-04-27T16:45:18.599808,Cycle,1
96,D226,Cycle/S9/cycle/on/00,650,2024-04-27T16:45:18.703863,Cycle,1
97,D426,Cycle/S9/cycle/off/00,700,2024-04-27T16:45:18.806717,Cycle,1
98,D261,Cycle/S10/cycle/on/00,270,2024-04-27T16:45:18.828746,Cycle,1
99,D230,Cycle/S10/cycle/on/01,540,2024-04-27T16:45:18.855812,Cycle,1
100,D284,Cycle/S10/cycle/on/02,630,2024-04-27T16:45:18.973426,Cycle,1
101,D262,Cycle/S10/cycle/on/03,930,2024-04-27T16:45:19.082715,Cycle,1
102,D461,Cycle/S10/cycle/off/00,350,2024-04-27T16:45:19.186041,Cycle,1
103,D430,Cycle/S10/cycle/off/01,600,2024-04-27T16:45:19.294398,Cycle,1
104,D484,Cycle/S10/cycle/off/02,750,2024-04-27T16:45:19.401840,Cycle,1
105,D462,Cycle/S10/cycle/off/03,990,2024-04-27T16:45:19.505441,Cycle,1
106,D265,Cycle/S11/cycle/on/00,200,2024-04-27T16:45:19.608920,Cycle,1
107,D267,Cycle/S11/cycle/on/01,490,2024-04-27T16:45:19.707547,Cycle,1
108,D266,Cycle/S11/cycle/on/02,830,2024-04-27T16:45:19.906278,Cycle,1
109,D268,Cycle/S11/cycle/on/03,950,2024-04-27T16:45:20.008994,Cycle,1
110,D465,Cycle/S11/cycle/off/00,270,2024-04-27T16:45:20.112131,Cycle,1
111,D467,Cycle/S11/cycle/off/01,500,2024-04-27T16:45:20.220808,Cycle,1
112,D466,Cycle/S11/cycle/off/02,930,2024-04-27T16:45:20.324765,Cycle,1
113,D468,Cycle/S11/cycle/off/03,999,2024-04-27T16:45:20.427798,Cycle,1
114,D270,Cycle/S12/cycle/on/00,50,2024-04-27T16:45:20.531492,Cycle,1
115,D269,Cycle/S12/cycle/on/01,500,2024-04-27T16:45:20.640035,Cycle,1
116,D229,Cycle/S12/cycle/on/02,870,2024-04-27T16:45:20.743805,Cycle,1
117,D470,Cycle/S12/cycle/off/00,151,2024-04-27T16:45:20.846883,Cycle,1
118,D469,Cycle/S12/cycle/off/01,550,2024-04-27T16:45:20.950545,Cycle,1
119,D429,Cycle/S12/cycle/off/02,995,2024-04-27T16:45:21.054336,Cycle,1
120,D750,Cycle/S6/cycle/on/06,25,2024-04-27T16:45:21.247377,Cycle,1
